Filename,Contents,Words,Date,Approx year,Dialect broad,Dialect fine,Grid ref,LAEME file
aberdeent,a couplet and three quatrains,117,c13b2-c14a1,1300,SW,Som,378 159,aberdeent
adde6at,The Sayings of St Bernard,1033,c13b2,1287,E&L,Esx,571 226,adde6at
adde6bxvsigns,XV Signs,1231,c13b2,1287,SWML,Glo,387 229,adde6bt
arundel248angelus,Angelus ad Virginem,264,c13b2,1287,EML,Cam,557 263,arundel248t
arundel248bliss,Worldes blis ne last no þrowe,369,c13b2,1287,EML,Cam,557 263,arundel248t
arundel248lamb,þe milde Lomb isprad o rode,287,c13b2,1287,EML,Cam,557 263,arundel248t
benetholmet,Cartulary of the Abbey of St Benet of Holme,178,c13b2,1287,EML,Nfk,638 315,benetholmet
beverleyt,rhyming version of King Athelstan's grant of privileges,477,c14a,1325,N,YER,504 439,beverleyt
bodley26t,Macaronic sermon,372,c13b2,1287,N,Lan,385 433,bodley26t
buryFft,Sacrist's register of Bury St Edmunds,9468,c13b2,1300,EML,Nfk,560 308,buryFft
candet3t,Candet Nudatum Pectus,118,c13b,1275,EML,Lin,550 365,candet3t
candet5respice,Respice in Faciem,105,c13a2-b1,1250,unlocalised,unlocalised,000 000,candet5t
cccc8t,part of final line of 1 song + 1 complete song,130,c13b2-c14a1,1300,SWML,Glo,419 226,cccc8t
ccco59misc,Edi beo þu heuene quene + Moder milde flur of alle,535,c13b2,1287,SWML,Glo,384 219,ccco59t
chertseyt,Chertsey Cartulary,727,c13,1250,SE,Sur,504 166,chertseyt
clericot,Interludium de Clerico et Puella,529,c.1300,1300,EML,Lin,482 402,clericot
corp145selt,South English Legendary,30237,c14a1,1315,SC,Brk,429 195,corp145selt
cotcleoBvimisc,two short poems,185,c13a2-b1,1250,N,YWR,389 461,cotcleoBvit
cotfaustat,Various fragments,162,c14a,1325,N,YWR,428 467,cotfaustat
cotfaustbt,9 couplets on raising of Lazarus,121,c14a,1325,N,YWR,428 467,cotfaustbt
creditonat,3 documents relating to Crediton,452,c13b2,1287,SW,Dvn,283 100,creditonat
creditonbt,Document relating to Crediton,171,c13b2,1287,SW,Dvn,283 100,creditonbt
digby2a1t,song of the Passion in 6 stanzas,272,c13b2,1287,unlocalised,unlocalised,000 000,digby2a1t
digby2a2t,prayer of penitence to the Blessed Virgin in 5 stanzas,240,c13b2,1287,unlocalised,unlocalised,000 000,digby2a2t
digby2bt,three six-line stanzas,101,c13b2,1287,unlocalised,unlocalised,000 000,digby2bt
digby86bede,Sayings of Bede,1740,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86doomsday,Doomsday,426,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86eustace,Life of St Eustace,2321,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86hare,Names of the Hare,295,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86hendingt,Proverbs of Hending,1961,c13b2,1277,SWML,Glo,000 000,digby86hendingt
digby86love,Loue is sofft,247,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86psalter,Our Lady's Psalter,997,c13b2,1277,SWML,Glo,375 232,digby86mapt
digby86ubi,Ubi sunt,342,c13b2,1277,SWML,Glo,375 232,digby86mapt
dulwicht,519 lines of La Estorie del Euangelie in quatrains,3296,c.1300,1300,EML,Lin,524 322,dulwicht
edincmat,Cursor Mundi,15107,c14a,1325,N,YER,486 447,edincmat
edincmbt,The Northern Homily Collection,22164,c14a,1325,N,YNR,455 476,edincmbt
edincmct,Cursor Mundi,14087,c14a,1325,N,Yct,460 452,edincmct
egblessedt,orison to the Blessed Virgin,364,c13a2-b1,1250,unlocalised,unlocalised,000 000,egblessedt
egsomert,a song of the Passion,234,c13a2-b1,1250,SWML,Glo,390 232,egsomert
egstellat,a macaronic verse in praise of the Blessed Virgin,145,c13a2-b1,1250,unlocalised,unlocalised,000 000,egstellat
emmanuel27creed,The Creed,118,c14a1,1312,SW,Wlt,413 130,emmanuel27t
emmanuel27misc,Composite set of multiple texts,416,c14a1,1312,SW,Wlt,413 130,emmanuel27t
genexodt,Genesis and Exodus,12467,c14a1,1312,EML,Nfk,582 312,genexodt
gospatrict,Writ of Gospatric,215,c13,1250,N,Cum,340 556,gospatrict
hale135t,Bracton's Summa de Legibus,110,c13b2-c14a1,1300,EML,Lin,507 395,hale135t
huntproct,A proclamation by Henry III,349,c13b1,1262,E&L,Esx,545 183,huntproct 
jesdwc,Death's Wither-Clench,278,c13b2,1287,SWML,Hrf,372 244,jes29t
jeslastday,The Latemest Day,1094,c13b2,1287,SWML,Hrf,372 244,jes29t
lam499lyrics,Eight English Lyrics,364,c13b2,1277,NWML,Chs,344 377,lam499t
laud108ainfancy,Infancy of Christ,12489,c13b2-c14a1,1300,SC,Oxf,429 221,laud108at
laud108alife,Life of Christ,10547,c13b2-c14a1,1300,SC,Oxf,429 221,laud108at
laud108bt,Debate between the Body and the Soul,3025,c13b2-c14a1,1300,EML,Ely,553 280,laud108bt
merton248t,Multiple items,2298,c14a2,1335,EML,Lin,483 389,merton248t
ramseyat,Composite register of Ramsey Abbey,2004,c14a,1325,EML,Hun,529 285,ramseyat
ramseybt,Composite register of Ramsey Abbey,200,c14a,1325,EML,Hun,529 285,ramseybt
ramseycott,Fragments of registers of Ramsey Abbey,888,c14a,1325,EML,Hun,528 283,ramseycott
royal12e1bthink,þenc man of min harde stundes,108,c13b2-c14a1,1300,EML,Nfk,562 321,royal12e1bt
royal2f8t,In hyre ys al my lyf ylong + A Spring Song on the Passion,527,c13b2,1287,SW,Wlt,392 153,royal2f8t
scotwart,A Ballad on the Scottish Wars,1606,c14a,1325,N,Dur,417 548,scotwart
swinfieldt,Registrum Ricardi de Swinfield,116,c14a1,1312,SWML,Frh,351 239,swinfieldt
tanner169t,Stabat iuxta Christi crucem,244,c13b1,1262,NWML,Chs,341 366,tanner169t
thorneykt,Will of Mantat from The Red Book of Thorney Abbey vol. 1,160,c14a,1325,EML,Ely,528 304,thorneykt
tr323amisc,Composite set of multiple texts,2380,c13b1,1264,SWML,Hrf,366 255,tr323at
tr323bt,Composite set of 10 texts,5266,c13b1,1264,SWML,Hrf,371 237,tr323bt
tr323cBV,song in praise of the BV,199,c13b1,1264,SWML,Hrf,360 240,tr323ct
trincleoDmisc,Composite set of 3 texts,1469,c13b1,1257,EML,Nrf,574 326,trincleoDt
vitelld3t,Floriz and Blauncheflur,1954,c13b,1275,SWML,Glo,399 233,vitelld3t
westminstert,imperfect copy of Priscian's Commentarii,126,c13b2-c14a1,1300,unlocalised,unlocalised,000 000,westminstert
